state,lat,lng
Alabama,32.7784,-86.9290
Arizona,34.2740,-111.6582
Arkansas,34.8938,-92.4429
California,37.1992,-119.4505
Colorado,38.9979,-105.5495
Connecticut,41.6220,-72.7272
Delaware,38.9895,-75.5051
Florida,28.6282,-82.4426
Georgia,32.64405,-83.4418
Idaho,44.3538,-114.6086
Illinois,40.0411,-89.1965
Indiana,39.8938,-86.2818
Iowa,42.0753,-93.4959
Kansas,38.4949,-98.3801
Kentucky,37.5360,-85.3021
Louisiana,31.0689,-91.9952
Maine,45.3702,-69.2438
Maryland,39.0550,-76.7909
Massachusetts,42.2596,-71.8083
Michigan,44.3461,-85.4114
Minnesota,46.2810,-94.3046
Mississippi,32.7351,-89.6680
Missouri,38.3568,-92.4571
Montana,47.0527,-109.6450
Nebraska,41.5392,-99.7968
Nevada,39.3306,-116.6268
New Hampshire,43.6805,-71.5818
New Jersey,40.1907,-74.6733
New Mexico,34.4066,-106.1128
New York,42.9543,-75.5262
North Carolina,35.5579,-79.3856
North Dakota,47.4499,-100.4674
Ohio,40.2863,-82.7938
Oklahoma,35.5910,-97.4943
Oregon,43.9336,-120.5617
Pennsylvania,40.8786,-77.7985
Rhode Island,41.6762,-71.5562
South Carolina,33.9169,-80.8957
South Dakota,44.4446,-100.2282
Tennessee,35.8605,-86.3504
Texas,31.4789,-99.3287
Utah,39.3057,-111.6685
Vermont,44.0688,-72.6663
Virginia,37.5229,-78.8531
Washington,47.3822,-120.4505
West Virginia,38.6409,-80.6230
Wisconsin,44.6243,-89.9941
Wyoming,42.9959,-107.5527
