state,year,month,nothing,D0,D1,D2,D3,D4
AL,06,03,96.2,3.8,0.0,0.0,0.0,0.0
AL,06,04,59.0,41.0,8.5,1.1,0.0,0.0
AL,06,05,77.8,22.2,2.0,0.1,0.0,0.0
AL,06,06,45.5,54.5,32.2,6.3,0.6,0.0
AL,06,07,1.1,99.0,92.1,47.3,19.2,0.0
AL,06,08,0.0,100.0,100.0,87.9,22.9,0.0
AL,06,09,0.0,100.0,92.3,44.9,2.9,0.0
AL,06,10,8.3,91.7,51.2,0.0,0.0,0.0
AL,06,11,70.8,29.2,0.0,0.0,0.0,0.0
AL,06,12,67.7,32.3,0.0,0.0,0.0,0.0
AL,07,01,73.5,26.5,0.0,0.0,0.0,0.0
AL,07,02,55.2,44.8,2.5,0.0,0.0,0.0
AL,07,03,10.8,89.2,51.2,14.3,0.9,0.0
AL,07,04,5.6,94.4,79.7,45.1,11.2,0.0
AL,07,05,2.0,98.0,89.6,65.0,51.7,0.0
AL,07,06,0.0,100.0,100.0,89.6,72.1,36.6
AL,07,07,0.0,100.0,93.0,76.7,52.0,28.2
AL,07,08,0.0,100.0,95.2,91.4,84.4,68.2
AL,07,09,1.3,98.7,91.1,83.1,71.6,55.1
AL,07,10,1.5,98.5,93.5,82.1,73.0,56.8
AL,07,11,3.0,97.0,85.9,72.2,59.3,46.9
AL,07,12,6.3,93.7,85.5,71.6,60.6,49.1
AL,08,01,11.3,88.7,79.7,67.7,56.0,39.6
AL,08,02,18.7,81.3,73.0,63.0,47.3,31.0
AL,08,03,21.0,79.0,69.1,57.2,34.0,2.5
AL,08,04,17.4,82.6,68.4,49.7,21.7,0.0
AL,08,05,10.5,89.5,64.5,44.7,9.4,0.0
AL,08,06,16.8,83.2,59.4,29.7,0.0,0.0
AL,08,07,6.2,93.8,71.6,33.2,0.0,0.0
AL,08,08,16.7,83.3,62.2,37.7,9.7,0.0
AL,08,09,34.6,65.4,24.8,2.4,0.0,0.0
AL,08,10,13.0,87.0,21.8,2.4,0.0,0.0
AL,08,11,25.6,74.4,19.3,1.6,0.0,0.0
AL,08,12,53.8,46.2,11.1,0.5,0.0,0.0
AL,09,01,65.4,34.6,0.0,0.0,0.0,0.0
AL,09,02,27.8,72.2,5.6,0.0,0.0,0.0
AL,09,03,41.5,58.5,9.3,0.0,0.0,0.0
AL,09,04,100.0,0.0,0.0,0.0,0.0,0.0
AL,09,05,100.0,0.0,0.0,0.0,0.0,0.0
AL,09,06,96.1,3.9,0.0,0.0,0.0,0.0
AL,09,07,70.0,30.0,0.0,0.0,0.0,0.0
AL,09,08,89.4,10.6,0.0,0.0,0.0,0.0
AL,09,09,100.0,0.0,0.0,0.0,0.0,0.0
AL,09,10,100.0,0.0,0.0,0.0,0.0,0.0
AL,09,11,100.0,0.0,0.0,0.0,0.0,0.0
AL,09,12,100.0,0.0,0.0,0.0,0.0,0.0
AL,10,01,100.0,0.0,0.0,0.0,0.0,0.0
AL,10,02,100.0,0.0,0.0,0.0,0.0,0.0
AL,10,03,97.2,2.8,0.0,0.0,0.0,0.0
AL,10,04,66.4,33.6,0.0,0.0,0.0,0.0
AL,10,05,100.0,0.0,0.0,0.0,0.0,0.0
AL,10,06,100.0,0.0,0.0,0.0,0.0,0.0
AL,10,07,49.8,50.2,1.4,0.0,0.0,0.0
AL,10,08,39.5,60.5,20.5,0.0,0.0,0.0
AL,10,09,15.0,85.0,46.1,16.7,2.2,0.0
AL,10,10,0.9,99.1,88.0,38.2,9.4,0.0
AL,10,11,1.5,98.5,68.1,36.2,10.3,0.0
AL,10,12,24.9,75.1,53.8,21.7,1.8,0.0
AL,11,01,21.2,78.8,55.8,28.8,1.8,0.0
AL,11,02,8.2,91.8,67.3,25.8,0.5,0.0
AL,11,03,15.0,85.0,64.9,27.2,2.6,0.0
AL,11,04,52.8,47.2,39.7,16.9,0.0,0.0
AL,11,05,44.7,55.3,40.1,28.6,7.0,0.0
AL,11,06,8.8,91.2,55.4,41.3,23.2,7.0
AL,11,07,23.7,76.3,51.5,33.8,16.4,4.9
AL,11,08,28.6,71.4,57.0,38.7,8.5,0.0
AL,11,09,47.5,52.5,42.2,30.2,16.6,0.0
AL,11,10,43.8,56.2,40.5,31.2,17.7,0.0
AL,11,11,20.4,79.6,56.6,42.1,27.0,0.0
AL,11,12,37.7,62.3,50.8,33.3,15.5,0.0
AL,12,01,46.5,53.5,43.0,26.3,12.5,1.4
AL,12,02,53.3,46.7,35.8,24.4,12.9,3.5
AL,12,03,55.5,44.5,32.6,22.8,14.5,3.3
AL,12,04,49.7,50.3,33.0,24.7,17.5,3.2
AL,12,05,12.1,87.9,51.2,28.4,22.1,2.9
AL,12,06,27.8,72.2,35.5,21.2,15.2,1.5
AL,12,07,11.1,88.9,55.8,29.0,15.2,1.3
AL,12,08,49.8,50.2,28.8,17.2,10.1,0.4
AL,12,09,69.1,30.9,20.2,15.4,8.7,0.0
AL,12,10,73.4,26.6,18.2,11.8,6.8,0.0
AL,12,11,53.0,47.0,31.1,19.3,8.2,3.7
AL,12,12,27.9,72.1,36.7,21.5,9.9,3.7
AL,13,01,42.0,58.0,32.8,19.1,8.6,0.0
AL,13,02,66.7,33.3,17.6,6.7,1.0,0.0
AL,13,03,92.0,8.0,0.2,0.0,0.0,0.0
AL,13,04,94.5,5.5,0.0,0.0,0.0,0.0
AL,13,05,95.4,4.6,0.8,0.0,0.0,0.0
AL,13,06,73.4,26.6,1.2,0.0,0.0,0.0
AL,13,07,95.1,4.9,0.0,0.0,0.0,0.0
AL,13,08,100.0,0.0,0.0,0.0,0.0,0.0
AL,13,09,95.3,4.7,0.0,0.0,0.0,0.0
AL,13,10,93.3,6.7,0.0,0.0,0.0,0.0
AL,13,11,60.9,39.1,2.7,0.0,0.0,0.0
AL,13,12,82.7,17.3,2.4,0.0,0.0,0.0
AL,14,01,87.8,12.2,0.0,0.0,0.0,0.0
AL,14,02,82.4,17.6,0.0,0.0,0.0,0.0
AL,14,03,83.2,16.8,0.8,0.0,0.0,0.0
AL,14,04,91.9,8.1,1.5,0.0,0.0,0.0
AL,14,05,92.7,7.3,0.8,0.0,0.0,0.0
AL,14,06,93.1,6.9,0.2,0.0,0.0,0.0
AL,14,07,83.6,16.4,0.2,0.0,0.0,0.0
AL,14,08,53.3,46.7,5.0,0.0,0.0,0.0
AL,14,09,32.5,67.5,13.8,0.3,0.0,0.0
AL,14,10,38.2,61.8,19.7,1.3,0.0,0.0
AL,14,11,33.4,66.6,19.6,1.5,0.0,0.0
AL,14,12,37.7,62.3,21.9,2.8,0.0,0.0
AL,15,01,70.4,29.6,2.7,0.0,0.0,0.0
AL,15,02,39.3,60.7,8.8,0.0,0.0,0.0
AL,15,03,48.4,51.6,11.0,0.0,0.0,0.0
AL,15,04,57.7,42.3,8.3,1.4,0.0,0.0
AL,15,05,63.0,37.0,0.0,0.0,0.0,0.0
AL,15,06,83.7,16.3,3.3,0.0,0.0,0.0
AL,15,07,68.0,32.0,8.8,0.0,0.0,0.0
AL,15,08,44.1,55.9,13.3,0.0,0.0,0.0
AL,15,09,42.7,57.3,13.2,0.0,0.0,0.0
AL,15,10,37.9,62.1,15.5,0.4,0.0,0.0
AL,15,11,84.2,15.8,0.0,0.0,0.0,0.0
AL,15,12,98.9,1.1,0.0,0.0,0.0,0.0
AL,16,01,100.0,0.0,0.0,0.0,0.0,0.0
AL,16,02,100.0,0.0,0.0,0.0,0.0,0.0
AL,16,03,99.6,0.4,0.0,0.0,0.0,0.0
AL,16,04,97.8,2.2,0.0,0.0,0.0,0.0
AL,16,05,65.2,34.8,10.2,1.5,0.0,0.0
AL,16,06,41.0,59.0,39.4,12.4,0.2,0.0
AL,16,07,37.0,63.0,41.9,15.2,2.9,0.0
AL,16,08,44.5,55.5,33.0,14.1,2.1,0.0
AR,00,01,14.2,85.8,32.5,4.7,0.0,0.0
AR,00,02,1.6,98.4,34.2,4.8,0.0,0.0
AR,00,03,14.8,85.2,30.8,4.7,0.0,0.0
AR,00,04,5.1,94.9,35.7,0.0,0.0,0.0
AR,00,05,26.4,73.6,33.9,0.8,0.0,0.0
AR,00,06,84.2,15.8,0.0,0.0,0.0,0.0
AR,00,07,78.8,21.2,4.8,0.0,0.0,0.0
AR,00,08,19.5,80.5,42.5,10.2,2.5,0.0
AR,00,09,0.0,100.0,99.7,85.2,32.1,0.0
AR,00,10,0.0,100.0,100.0,67.3,34.7,3.3
AR,00,11,47.3,52.7,32.5,20.7,8.8,0.0
AR,00,12,71.1,28.9,12.4,4.5,0.0,0.0
AR,01,01,75.8,24.2,10.9,3.8,0.0,0.0
AR,01,02,88.7,11.3,3.4,0.7,0.0,0.0
AR,01,03,97.9,2.1,0.0,0.0,0.0,0.0
AR,01,04,84.7,15.3,1.2,0.0,0.0,0.0
AR,01,05,52.4,47.6,23.1,3.5,0.0,0.0
AR,01,06,62.6,37.4,13.1,3.2,0.0,0.0
AR,01,07,33.0,67.0,19.9,5.3,0.0,0.0
AR,01,08,19.1,80.9,21.6,5.3,0.0,0.0
AR,01,09,58.7,41.3,20.0,7.1,0.0,0.0
AR,01,10,73.1,26.9,11.8,2.9,0.0,0.0
AR,01,11,75.8,24.2,7.8,0.0,0.0,0.0
AR,01,12,95.0,5.0,0.0,0.0,0.0,0.0
AR,02,01,100.0,0.0,0.0,0.0,0.0,0.0
AR,02,02,100.0,0.0,0.0,0.0,0.0,0.0
AR,02,03,100.0,0.0,0.0,0.0,0.0,0.0
AR,02,04,100.0,0.0,0.0,0.0,0.0,0.0
AR,02,05,100.0,0.0,0.0,0.0,0.0,0.0
AR,02,06,98.2,1.8,0.1,0.0,0.0,0.0
AR,02,07,69.7,30.3,0.2,0.0,0.0,0.0
AR,02,08,93.0,7.0,0.0,0.0,0.0,0.0
AR,02,09,59.5,40.5,0.0,0.0,0.0,0.0
AR,02,10,62.1,37.9,10.0,0.0,0.0,0.0
AR,02,11,73.8,26.2,4.4,0.0,0.0,0.0
AR,02,12,72.9,27.1,0.8,0.0,0.0,0.0
AR,03,01,85.3,14.7,0.6,0.0,0.0,0.0
AR,03,02,93.1,6.9,0.6,0.0,0.0,0.0
AR,03,03,99.1,0.9,0.0,0.0,0.0,0.0
AR,03,04,32.8,67.2,7.0,0.0,0.0,0.0
AR,03,05,69.7,30.3,7.6,0.0,0.0,0.0
AR,03,06,71.4,28.6,2.7,0.0,0.0,0.0
AR,03,07,93.7,6.3,1.3,0.0,0.0,0.0
AR,03,08,84.5,15.5,2.1,0.0,0.0,0.0
AR,03,09,100.0,0.0,0.0,0.0,0.0,0.0
AR,03,10,76.1,23.9,0.0,0.0,0.0,0.0
AR,03,11,75.1,24.9,0.0,0.0,0.0,0.0
AR,03,12,88.3,11.7,1.7,0.0,0.0,0.0
AR,04,01,66.0,34.0,8.6,0.0,0.0,0.0
AR,04,02,86.3,13.7,1.7,0.0,0.0,0.0
AR,04,03,94.7,5.3,0.1,0.0,0.0,0.0
AR,04,04,79.7,20.3,0.0,0.0,0.0,0.0
AR,04,05,92.0,8.0,3.5,0.0,0.0,0.0
AR,04,06,83.0,17.0,4.2,0.0,0.0,0.0
AR,04,07,100.0,0.0,0.0,0.0,0.0,0.0
AR,04,08,100.0,0.0,0.0,0.0,0.0,0.0
AR,04,09,69.3,30.7,0.0,0.0,0.0,0.0
AR,04,10,63.8,36.2,6.6,0.0,0.0,0.0
AR,04,11,100.0,0.0,0.0,0.0,0.0,0.0
AR,04,12,100.0,0.0,0.0,0.0,0.0,0.0
AR,05,01,100.0,0.0,0.0,0.0,0.0,0.0
AR,05,02,100.0,0.0,0.0,0.0,0.0,0.0
AR,05,03,92.3,7.7,0.0,0.0,0.0,0.0
AR,05,04,94.3,5.7,0.0,0.0,0.0,0.0
AR,05,05,28.0,72.0,14.6,0.0,0.0,0.0
AR,05,06,4.3,95.7,78.0,42.7,3.3,0.0
AR,05,07,0.5,99.5,83.1,56.1,16.7,0.0
AR,05,08,0.4,99.6,93.8,56.9,9.7,0.0
AR,05,09,21.4,78.6,63.8,38.9,6.8,0.0
AR,05,10,34.4,65.6,16.6,0.1,0.0,0.0
AR,05,11,0.1,99.9,85.2,9.6,0.0,0.0
AR,05,12,0.0,100.0,94.7,40.0,12.1,3.2
AR,06,01,1.1,98.9,95.0,74.0,32.1,6.0
AR,06,02,17.4,82.6,69.8,52.9,27.4,6.1
AR,06,03,17.4,82.6,52.4,27.0,9.4,2.5
AR,06,04,4.2,95.8,69.8,30.1,2.1,0.0
AR,06,05,16.0,84.0,34.4,5.4,0.0,0.0
AR,06,06,2.7,97.3,15.0,0.1,0.0,0.0
AR,06,07,2.4,97.6,57.5,21.0,0.0,0.0
AR,06,08,1.1,98.9,87.1,34.0,2.5,0.0
AR,06,09,8.7,91.3,56.7,17.1,0.6,0.0
AR,06,10,30.3,69.7,44.4,9.4,0.4,0.0
AR,06,11,58.9,41.1,10.0,0.8,0.0,0.0
AR,06,12,59.2,40.8,5.6,0.1,0.0,0.0
AR,07,01,84.6,15.4,1.6,0.0,0.0,0.0
AR,07,02,100.0,0.0,0.0,0.0,0.0,0.0
AR,07,03,72.2,27.8,0.0,0.0,0.0,0.0
AR,07,04,40.2,59.8,2.5,0.0,0.0,0.0
AR,07,05,55.3,44.7,1.4,0.0,0.0,0.0
AR,07,06,25.0,75.0,14.7,0.0,0.0,0.0
AR,07,07,70.6,29.4,6.0,0.6,0.0,0.0
AR,07,08,29.4,70.6,38.6,16.5,2.1,0.0
AR,07,09,38.7,61.3,33.9,11.1,1.6,0.0
AR,07,10,74.4,25.6,11.7,3.6,0.6,0.0
AR,07,11,83.8,16.2,0.2,0.0,0.0,0.0
AR,07,12,89.6,10.4,0.0,0.0,0.0,0.0
AR,08,01,84.1,15.9,0.0,0.0,0.0,0.0
AR,08,02,83.7,16.3,0.0,0.0,0.0,0.0
AR,08,03,100.0,0.0,0.0,0.0,0.0,0.0
AR,08,04,96.7,3.3,0.0,0.0,0.0,0.0
AR,08,05,98.3,1.7,0.0,0.0,0.0,0.0
AR,08,06,93.9,6.1,0.0,0.0,0.0,0.0
AR,08,07,83.9,16.1,0.0,0.0,0.0,0.0
AR,08,08,91.5,8.5,0.0,0.0,0.0,0.0
AR,08,09,99.8,0.2,0.0,0.0,0.0,0.0
AR,08,10,100.0,0.0,0.0,0.0,0.0,0.0
AR,08,11,100.0,0.0,0.0,0.0,0.0,0.0
AR,08,12,95.4,4.6,0.0,0.0,0.0,0.0
AR,09,01,98.7,1.3,0.0,0.0,0.0,0.0
AR,09,02,99.7,0.3,0.0,0.0,0.0,0.0
AR,09,03,80.4,19.6,0.0,0.0,0.0,0.0
AR,09,04,95.7,4.3,0.0,0.0,0.0,0.0
AR,09,05,100.0,0.0,0.0,0.0,0.0,0.0
AR,09,06,99.9,0.1,0.0,0.0,0.0,0.0
AR,09,07,97.4,2.6,0.0,0.0,0.0,0.0
AR,09,08,99.9,0.1,0.0,0.0,0.0,0.0
AR,09,09,100.0,0.0,0.0,0.0,0.0,0.0
AR,09,10,100.0,0.0,0.0,0.0,0.0,0.0
AR,09,11,100.0,0.0,0.0,0.0,0.0,0.0
AR,09,12,100.0,0.0,0.0,0.0,0.0,0.0
AR,10,01,100.0,0.0,0.0,0.0,0.0,0.0
AR,10,02,100.0,0.0,0.0,0.0,0.0,0.0
AR,10,03,98.5,1.5,0.0,0.0,0.0,0.0
AR,10,04,87.6,12.4,0.3,0.0,0.0,0.0
AR,10,05,85.2,14.8,3.4,0.0,0.0,0.0
AR,10,06,70.5,29.5,10.4,0.2,0.0,0.0
AR,10,07,43.4,56.6,13.6,2.8,0.1,0.0
AR,10,08,34.6,65.4,31.3,4.0,0.4,0.0
AR,10,09,21.1,78.9,49.9,13.0,0.0,0.0
AR,10,10,20.6,79.4,64.3,38.4,3.0,0.0
AR,10,11,18.1,81.9,67.8,49.2,6.9,0.0
AR,10,12,7.5,92.5,76.8,56.0,5.8,0.0
AR,11,01,0.0,100.0,93.2,64.6,12.6,0.0
AR,11,02,0.0,100.0,97.2,58.1,10.2,0.0
AR,11,03,0.8,99.2,86.4,46.6,12.6,0.0
AR,11,04,13.8,86.2,66.7,39.7,13.9,0.0
AR,11,05,80.7,19.3,15.7,11.8,2.8,0.0
AR,11,06,63.3,36.7,14.3,10.6,2.3,0.0
AR,11,07,9.8,90.2,48.7,12.0,4.0,0.0
AR,11,08,3.9,96.1,80.7,45.5,15.3,1.4
AR,11,09,1.9,98.1,76.4,36.9,16.6,1.8
AR,11,10,2.6,97.4,80.1,35.2,18.2,1.7
AR,11,11,25.7,74.3,46.0,17.8,11.4,2.1
AR,11,12,85.9,14.1,6.4,2.1,0.6,0.1
AR,12,01,90.6,9.4,2.7,0.9,0.2,0.0
AR,12,02,93.6,6.4,1.5,0.4,0.0,0.0
AR,12,03,97.5,2.5,0.4,0.0,0.0,0.0
AR,12,04,100.0,0.0,0.0,0.0,0.0,0.0
AR,12,05,51.9,48.1,16.9,0.0,0.0,0.0
AR,12,06,0.7,99.3,92.1,42.8,8.0,0.0
AR,12,07,0.0,100.0,99.5,93.7,65.6,18.4
AR,12,08,0.0,100.0,99.8,96.6,77.6,49.4
AR,12,09,0.1,99.9,93.0,75.4,47.4,10.5
AR,12,10,5.1,94.9,84.7,73.0,37.8,3.9
AR,12,11,15.6,84.4,69.5,47.7,25.0,0.0
AR,12,12,22.4,77.6,57.6,41.7,24.1,0.0
AR,13,01,28.4,71.6,50.0,33.4,14.0,0.0
AR,13,02,50.0,50.0,31.9,17.1,0.0,0.0
AR,13,03,44.1,55.9,27.1,7.4,0.0,0.0
AR,13,04,61.9,38.1,12.9,0.0,0.0,0.0
AR,13,05,80.4,19.6,4.1,0.0,0.0,0.0
AR,13,06,95.2,4.8,1.0,0.0,0.0,0.0
AR,13,07,31.6,68.4,32.9,4.2,0.0,0.0
AR,13,08,45.8,54.2,34.8,7.8,0.0,0.0
AR,13,09,42.3,57.7,35.7,21.5,5.3,0.0
AR,13,10,50.2,49.8,20.7,5.1,0.7,0.0
AR,13,11,61.4,38.6,3.9,0.0,0.0,0.0
AR,13,12,91.8,8.2,1.2,0.0,0.0,0.0
AR,14,01,97.9,2.1,0.0,0.0,0.0,0.0
AR,14,02,89.4,10.6,0.0,0.0,0.0,0.0
AR,14,03,65.7,34.3,0.1,0.0,0.0,0.0
AR,14,04,77.9,22.1,0.2,0.0,0.0,0.0
AR,14,05,73.7,26.3,0.1,0.0,0.0,0.0
AR,14,06,83.6,16.4,0.4,0.0,0.0,0.0
AR,14,07,85.4,14.6,0.6,0.0,0.0,0.0
AR,14,08,90.7,9.3,2.4,0.0,0.0,0.0
AR,14,09,75.7,24.3,3.7,0.0,0.0,0.0
AR,14,10,69.8,30.2,10.2,0.0,0.0,0.0
AR,14,11,63.7,36.3,10.6,0.0,0.0,0.0
AR,14,12,47.8,52.2,12.1,0.0,0.0,0.0
AR,15,01,70.0,30.0,12.6,0.0,0.0,0.0
AR,15,02,25.7,74.3,22.8,7.1,0.0,0.0
AR,15,03,64.0,36.0,4.9,0.7,0.0,0.0
AR,15,04,95.9,4.1,0.0,0.0,0.0,0.0
AR,15,05,96.9,3.1,0.0,0.0,0.0,0.0
AR,15,06,100.0,0.0,0.0,0.0,0.0,0.0
AR,15,07,100.0,0.0,0.0,0.0,0.0,0.0
AR,15,08,64.8,35.2,4.1,0.1,0.0,0.0
AR,15,09,50.1,49.9,31.0,9.8,2.2,0.0
AR,15,10,20.8,79.2,50.9,39.2,13.8,1.4
AR,15,11,53.7,46.3,10.3,0.0,0.0,0.0
AR,15,12,100.0,0.0,0.0,0.0,0.0,0.0
AR,16,01,100.0,0.0,0.0,0.0,0.0,0.0
AR,16,02,100.0,0.0,0.0,0.0,0.0,0.0
AR,16,03,93.9,6.1,0.0,0.0,0.0,0.0
AR,16,04,82.4,17.6,0.0,0.0,0.0,0.0
AR,16,05,89.5,10.5,0.0,0.0,0.0,0.0
AR,16,06,94.8,5.3,0.0,0.0,0.0,0.0
AR,16,07,67.9,32.1,0.3,0.0,0.0,0.0
AR,16,08,85.3,14.7,0.0,0.0,0.0,0.0
AZ,00,01,9.9,90.1,0.0,0.0,0.0,0.0
AZ,00,02,4.2,95.8,22.3,0.0,0.0,0.0
AZ,00,03,48.6,51.4,14.2,0.0,0.0,0.0
AZ,00,04,61.6,38.4,11.7,0.0,0.0,0.0
AZ,00,05,33.8,66.2,30.2,3.7,0.0,0.0
AZ,00,06,17.9,82.1,50.4,6.5,0.0,0.0
AZ,00,07,30.7,69.3,2.2,0.0,0.0,0.0
AZ,00,08,15.0,85.0,23.3,4.4,0.0,0.0
AZ,00,09,22.3,77.7,10.7,2.3,0.0,0.0
AZ,00,10,35.6,64.4,19.6,2.2,0.0,0.0
AZ,00,11,100.0,0.0,0.0,0.0,0.0,0.0
AZ,00,12,100.0,0.0,0.0,0.0,0.0,0.0
AZ,01,01,97.9,2.1,0.0,0.0,0.0,0.0
AZ,01,02,100.0,0.0,0.0,0.0,0.0,0.0
AZ,01,03,100.0,0.0,0.0,0.0,0.0,0.0
AZ,01,04,100.0,0.0,0.0,0.0,0.0,0.0
AZ,01,05,100.0,0.0,0.0,0.0,0.0,0.0
AZ,01,06,84.7,15.3,0.0,0.0,0.0,0.0
AZ,01,07,93.4,6.6,0.0,0.0,0.0,0.0
AZ,01,08,100.0,0.0,0.0,0.0,0.0,0.0
AZ,01,09,100.0,0.0,0.0,0.0,0.0,0.0
AZ,01,10,100.0,0.0,0.0,0.0,0.0,0.0
AZ,01,11,100.0,0.0,0.0,0.0,0.0,0.0
AZ,01,12,100.0,0.0,0.0,0.0,0.0,0.0
AZ,02,01,71.3,28.7,0.0,0.0,0.0,0.0
AZ,02,02,16.0,84.0,17.8,0.0,0.0,0.0
AZ,02,03,0.0,100.0,78.3,11.1,0.0,0.0
AZ,02,04,0.0,100.0,100.0,83.0,8.9,0.0
AZ,02,05,0.0,100.0,100.0,100.0,74.3,4.9
AZ,02,06,0.0,100.0,100.0,100.0,90.3,24.2
AZ,02,07,0.0,100.0,100.0,100.0,94.8,35.1
AZ,02,08,0.0,100.0,100.0,98.0,66.2,24.8
AZ,02,09,0.0,100.0,100.0,97.5,60.6,20.2
AZ,02,10,0.0,100.0,100.0,92.9,61.3,13.9
AZ,02,11,0.0,100.0,100.0,90.8,61.2,11.6
AZ,02,12,0.0,100.0,100.0,90.4,60.8,11.4
AZ,03,01,0.0,100.0,100.0,91.9,65.5,11.5
AZ,03,02,0.0,100.0,100.0,93.1,61.0,9.4
AZ,03,03,0.0,100.0,100.0,68.9,30.5,0.0
AZ,03,04,0.0,100.0,100.0,69.8,28.1,0.0
AZ,03,05,0.0,100.0,100.0,80.4,32.0,0.0
AZ,03,06,0.0,100.0,100.0,88.2,33.8,3.1
AZ,03,07,0.0,100.0,100.0,97.3,50.7,5.0
AZ,03,08,0.0,100.0,100.0,81.8,47.0,6.0
AZ,03,09,0.0,100.0,98.3,70.3,33.0,4.2
AZ,03,10,0.0,100.0,92.4,62.7,26.2,1.8
AZ,03,11,0.0,100.0,88.4,57.7,30.8,1.7
AZ,03,12,0.0,100.0,84.3,55.6,32.9,2.4
