state,year,month,nothing,D0,D1,D2,D3,D4
AL,00,01,0.0,100.0,69.1,7.4,0.0,0.0
AL,00,02,0.0,100.0,50.8,2.4,0.0,0.0
AL,00,03,0.0,100.0,58.5,17.9,0.0,0.0
AL,00,04,26.4,73.6,41.2,9.4,0.0,0.0
AL,00,05,16.6,83.4,64.2,36.1,8.5,0.0
AL,00,06,0.0,100.0,99.3,61.1,33.4,2.9
AL,00,07,0.0,100.0,97.9,86.5,64.3,36.4
AL,00,08,0.0,100.0,100.0,98.0,92.3,66.6
AL,00,09,0.0,100.0,100.0,99.8,94.6,62.2
AL,00,10,0.0,100.0,100.0,99.5,91.7,46.1
AL,00,11,0.0,100.0,100.0,100.0,49.2,9.5
AL,00,12,0.0,100.0,100.0,88.8,0.0,0.0
AL,01,01,1.0,99.0,84.9,34.0,0.0,0.0
AL,01,02,17.0,83.0,49.1,8.5,0.0,0.0
AL,01,03,71.5,28.5,7.0,0.0,0.0,0.0
AL,01,04,94.3,5.7,0.0,0.0,0.0,0.0
AL,01,05,53.0,47.0,2.3,0.0,0.0,0.0
AL,01,06,94.0,6.0,1.1,0.0,0.0,0.0
AL,01,07,99.9,0.1,0.0,0.0,0.0,0.0
AL,01,08,99.5,0.5,0.0,0.0,0.0,0.0
AL,01,09,100.0,0.0,0.0,0.0,0.0,0.0
AL,01,10,91.0,9.0,0.0,0.0,0.0,0.0
AL,01,11,58.3,41.7,5.8,0.0,0.0,0.0
AL,01,12,73.4,26.6,2.6,0.0,0.0,0.0
AL,02,01,70.1,29.9,8.0,0.6,0.0,0.0
AL,02,02,71.2,28.8,4.6,0.1,0.0,0.0
AL,02,03,33.9,66.1,19.2,2.5,0.0,0.0
AL,02,04,51.5,48.5,4.2,0.0,0.0,0.0
AL,02,05,24.6,75.4,48.0,16.5,0.0,0.0
AL,02,06,16.6,83.4,60.8,27.2,0.1,0.0
AL,02,07,18.8,81.2,53.1,17.5,0.0,0.0
AL,02,08,40.6,59.4,25.5,9.4,0.0,0.0
AL,02,09,14.1,85.9,41.9,12.9,0.3,0.0
AL,02,10,90.5,9.5,2.0,0.0,0.0,0.0
AL,02,11,99.9,0.1,0.0,0.0,0.0,0.0
AL,02,12,100.0,0.0,0.0,0.0,0.0,0.0
AL,03,01,100.0,0.0,0.0,0.0,0.0,0.0
AL,03,02,98.7,1.3,0.0,0.0,0.0,0.0
AL,03,03,100.0,0.0,0.0,0.0,0.0,0.0
AL,03,04,100.0,0.0,0.0,0.0,0.0,0.0
AL,03,05,96.1,3.9,0.0,0.0,0.0,0.0
AL,03,06,100.0,0.0,0.0,0.0,0.0,0.0
AL,03,07,100.0,0.0,0.0,0.0,0.0,0.0
AL,03,08,100.0,0.0,0.0,0.0,0.0,0.0
AL,03,09,100.0,0.0,0.0,0.0,0.0,0.0
AL,03,10,100.0,0.0,0.0,0.0,0.0,0.0
AL,03,11,100.0,0.0,0.0,0.0,0.0,0.0
AL,03,12,100.0,0.0,0.0,0.0,0.0,0.0
AL,04,01,100.0,0.0,0.0,0.0,0.0,0.0
AL,04,02,100.0,0.0,0.0,0.0,0.0,0.0
AL,04,03,84.2,15.8,0.0,0.0,0.0,0.0
AL,04,04,46.4,53.6,6.5,0.0,0.0,0.0
AL,04,05,53.5,46.5,2.3,0.0,0.0,0.0
AL,04,06,78.7,21.3,1.9,0.0,0.0,0.0
AL,04,07,100.0,0.0,0.0,0.0,0.0,0.0
AL,04,08,90.5,9.5,0.0,0.0,0.0,0.0
AL,04,09,100.0,0.0,0.0,0.0,0.0,0.0
AL,04,10,100.0,0.0,0.0,0.0,0.0,0.0
AL,04,11,100.0,0.0,0.0,0.0,0.0,0.0
AL,04,12,100.0,0.0,0.0,0.0,0.0,0.0
AL,05,01,100.0,0.0,0.0,0.0,0.0,0.0
AL,05,02,100.0,0.0,0.0,0.0,0.0,0.0
AL,05,03,93.6,6.4,0.0,0.0,0.0,0.0
AL,05,04,100.0,0.0,0.0,0.0,0.0,0.0
AL,05,05,96.2,3.8,0.3,0.0,0.0,0.0
AL,05,06,99.5,0.5,0.0,0.0,0.0,0.0
AL,05,07,100.0,0.0,0.0,0.0,0.0,0.0
AL,05,08,100.0,0.0,0.0,0.0,0.0,0.0
AL,05,09,100.0,0.0,0.0,0.0,0.0,0.0
AL,05,10,94.8,5.2,0.0,0.0,0.0,0.0
AL,05,11,45.7,54.3,2.1,0.0,0.0,0.0
AL,05,12,99.5,0.5,0.0,0.0,0.0,0.0
AL,06,01,65.7,34.3,0.3,0.0,0.0,0.0
AL,06,02,95.1,4.9,0.0,0.0,0.0,0.0
